DEVISION_CODE;Date;CodeClient;NANClienS;Categorie;AdrIssI;CodePostal;Ville;Pays;CodeLangue;Telephone;Email;NumeroFacture;DateFacture;DateEcheance;Ecriture;Devise;Montant
DEV1;7/10/14 13:30;9;GE KLENSIN C.V.B.E.;GROUP1;TJAMTIM MARITESJII 92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;TA468802;10/09/14;10/10/14;368801;EUR;456,54
DEV1;7/10/14 13:30;9;GE KLENSIN C.V.B.E.;GROUP1;TJAMTIM MARITESJII 92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;TA468802;10/09/14;10/10/14;368802;EUR;232,77
DEV1;7/10/14 13:30;9;GE KLENSIN C.V.B.E.;GROUP1;TJAMTIM MARITESJII 92;2018;ANTWERPEN 1;BE;NED;0032/32334787; ;TA484064;2/10/14;1/11/14;374054;EUR;57,11
DEV1;7/10/14 13:30;29;EKAS DE WESERKENS BVBE;GROUP1;HIMRI CARAMSTRAAT 2/B;1560;HOEILAART;BE;NED;0032/26570359; ;TA468402;5/09/14;5/10/14;368401;EUR;131,21
DEV1;7/10/14 13:30;29;EKAS DE WESERKENS BVBE;GROUP1;HIMRI CARAMSTRAAT 2/B;1560;HOEILAART;BE;NED;0032/26570359; ;TA468804;10/09/14;10/10/14;368803;EUR;361,12
DEV1;7/10/14 13:30;22;KCIE DE SYLVE;GROUP1;REI IRMIST SAJE 1;1090;JETTE;BE;FRA;0032/24785303; ;TA492226;20/06/13;20/07/13;392215;EUR;-11,44
DEV1;7/10/14 13:30;23;SERBER HEIR & SSYLE - BANNEVAIE;GROUP2;REI DI JA RIC. MATIAMAJI 19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;;TA482244;19/09/14;19/10/14;371243;EUR;458,91
DEV1;7/10/14 13:30;23;SERBER HEIR & SSYLE - BANNEVAIE;GROUP2;REI DI JA RIC. MATIAMAJI 19/A;LU-4936;BASCHARAGE;LU;FRA;00352/407913;;TA482842;23/09/14;23/10/14;371732;EUR;480,96
DEV1;7/10/14 13:30;292;CLINIQUE & NESERNISE SSE-ELISEBESH;GROUP3;TJACI JAEISI KADIM 15;5000;NAMUR;BE;FRA;0032/81720456; ;TA468942;3/09/14;2/12/14;367932;EUR;108,68
DEV1;7/10/14 13:30;227;ISKKC - CANKSEBILISE;GROUP4;REI DI KAZII  706;6110;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;TA466686;21/05/14;29/08/14;356575;EUR;512,37
DEV1;7/10/14 13:30;227;ISKKC - CANKSEBILISE;GROUP4;REI DI KAZII  706;6110;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;TA464868;4/08/14;29/11/14;363868;EUR;341,4
DEV1;7/10/14 13:30;227;ISKKC - CANKSEBILISE;GROUP4;REI DI KAZII  706;6110;MONTIGNIES-LE-TILLEUL;BE;FRA;0032/71295401; ;TA446422;8/09/14;8/09/14;445312;EUR;-512,37
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA462684;4/07/14;2/10/14;361674;EUR;246,57
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA462686;4/07/14;2/10/14;361675;EUR;236,71
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA462944;23/07/14;21/10/14;362944;EUR;284,5
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA464846;1/08/14;30/10/14;363845;EUR;284,5
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA464846;1/08/14;30/10/14;363846;EUR;273,12
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA464262;7/08/14;5/11/14;364152;EUR;284,5
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA468689;2/09/14;1/12/14;367689;EUR;246,57
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA468296;4/09/14;29/12/14;368195;EUR;341,4
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA468688;8/09/14;7/12/14;368577;EUR;284,5
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA484892;1/10/14;30/12/14;373891;EUR;246,57
DEV1;7/10/14 13:30;232;ALV ZKH;GROUP3;MAAARSIJBAAM 164;9300;AALST;BE;NED;0032/53724402; ;TA484688;6/10/14;4/01/15;374577;EUR;273,12
DEV1;7/10/14 13:30;257;EZ SS-DINKNE;GROUP3;JB STISSIMSSTRAAT 2;2440;GEEL;BE;NED;0032/14577449; ;TA468688;8/09/14;8/10/14;368578;EUR;117,98
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA464242;30/04/14;29/06/14;354241;EUR;358,66
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA468802;2/06/14;29/08/14;358801;EUR;325,88
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA460048;20/06/14;29/08/14;360037;EUR;543,14
